Country, Country Code, Network, Outbound Message Costs
,,Timor Telecom,1.5
Ecuador,593,,
,,Alegro (Telecsa),1
,,Conecel (Porta),0.8
,,Otecel (Movistar),0.8
Egypt,20,,
,,ECMS MobiNil,0.8
,,Etisalat Misr,0.8
,,Vodafone (Misrfone +CLICK GSM),0.8
El Salvador,503,,
,,CTE Telecom PERSONAL,0.8
,,Digicel,0.8
,,Telefonica Moviles,0.8
,,Telemovil,0.8
Equatorial Guinea,240,,
,,GETESA(Orange),0.8
Estonia,372,,
,,EMT,1.5
,,Radiolinja (Elisa),0.8
,,Tele2 (Eesti),0.8
Ethiopia,251,,
,,ETMTN,0.8
Falkland Islands,500,,
,,Cable and Wireless (Touch),1.5
Faroe Islands,298,,
,,FaroeseTelecom,0.8
,,Kall Telecom,0.8
Fiji,679,,
,,Digicel,0.8
,,Vodafone,0.8
Finland,358,,
,,Alands Mobiltelefon Ab,0.8
,,Dna Finland,0.8
,,Elisa Corporation,1.5
,,Saunalahti Group Oyj (Jippii),1.5
,,TeliaSonera,1
France,33,,
,,Bouygues Telecom,1.5
,,Orange,1.5
,,SFR,1.5
French Guiana,594,,
,,Digicel (Bouygues Telecom),0.8
,,Orange (France Caraibe Mobiles),0.8
,,Outremer Telecom,0.8
French Polynesia,689,,
,,Tikiphone,2
French West Indies,590,,
,,Bouygues (Digicel),0.8
,,Dauphin Telecom (AMIGO GSM),1
,,Only (Outremer),0.8
,,Orange,0.8
Gabon,241,,
,,Celtel,0.8
,,Libertis,0.8
,,Telecel,0.8
Gambia,220,,
,,Africell,0.8
,,Comium Services,0.8
,,Gamcel,1.5
Georgia,995,,
,,Geocell,0.8
,,Magticom Ltd.,0.8
,,Telecom (Mobitel),0.8
Germany,49,,
,,E-Plus,1.5
,,Group 3G,0.8
,,MobilCom,0.8
,,"O2 (Viag, E2)",1.5
,,"T-Mobil (D1,Detemobil)",1.5
,,"Vodafone (D2,Man.man,Mobilfunk)",1.5
Ghana,233,,
,,Millicom (Tigo),0.8
,,MTN (ScanCom),0.8
,,Vodafone (One-touch),0.8
,,Zain,0.8
Gibraltar,350,,
,,Gibtel,0.8
Greece,30,,
,,Cosmote,0.8
,,Infoquest AEBE (Q-Telecom),0.8
,,Vodafone (Panafon),0.8
,,"Wind (Tim,Telestet,Stet Hellas)",0.8
Greenland,299,,
,,TELE Greenland,0.8
Grenada,1473,,
,,Cable & Wireless,0.8
,,Cingular (Grenada Wireless),0.8
,,Digicel (Mossel),0.8
Guadeloupe,590,,
,,Bouygues (Digicel),0.8
,,Dauphin Telecom,1
,,Orange (France Caraibe Mobiles),0.8
,,Outremer Telecom,0.8
Guam,1671,,
,,DOCOMO PACIFIC,0.8
,,IT&E Wireless,2
Guatemala,502,,
,,Comcel (CCSA),1
