Country, Country Code, Network, Outbound Message Costs
,,Telecel,0.8
,,Togocel,0.8
Tonga Islands,676,,
,,Digicel (Tonga) Limited,0.8
,,Tonga Communications Corporation (U-CALL),2.5
Trinidad and Tobago,1868,,
,,Digicel,0.8
,,Telcom Services (TSTT),0.8
Tunisia,216,,
,,Tunisiana (Osracom),0.8
,,"Tunisie Telecom (Tunicell,Tuntel)",0.8
Turkey,90,,
,,Avea,0.8
,,Turkcell,1
,,Vodafone (Telsim),0.8
Turkmenistan,993,,
,,BCTI,0.8
Turks and Caicos Islands,1649,,
,,Cable & Wireless,0.8
,,Digicel,0.8
,,IslandCom,2.5
Uganda,256,,
,,CelTel (Zain),0.8
,,MTN,0.8
,,Uganda Telecom (UTL Telecel),0.8
,,Warid Telecom,1.5
UK,44,,
,,BT (PSTN),2
,,Hutchison 3G UK Ltd,2
,,O2 (BT Cellnet),1.5
,,Orange,1.5
,,T-Mobile (Virgin),1.5
,,Vodafone,1.5
Ukraine,380,,
,,Astelit,0.8
,,Golden Telecom Bancomsvyaz,0.8
,,Kyivstar GSM,0.8
,,Ukrainian Mobile Communications (MTS UKR),0.8
,,Ukrainian Radio Systems,0.8
United Arab Emirates,971,,
,,DU (EITC),0.8
,,Etisalat,0.8
Uruguay,598,,
,,América Móvil Wireless (CTI),0.8
,,Antel,0.8
,,Movistar,0.8
USA,1,,
,,Alltel (text only),1
,,AT&T Blue (text only),1
,,AT&T Orange (Cingular - text only),1
,,Boost CDMA (Nextel - text only),1
,,Boost iDEN (Nextel - text only),1
,,Cellular South (text only),1
,,Centennial (text only),1
,,Cincinnati Bell,1
,,Cricket Communications (text only),1
,,Dobson (text only),1
,,Nextel(text only),1
,,nTelos (text only),1
,,Sprint CDMA (text only),1
,,Sprint iDEN (text only),1
,,Suncom (text only),1
,,T-Mobile (text only),1
,,US Cellular (text only),1
,,Verizon (text only),1
,,Virgin Mobile (MVNO:Sprint - text only),1
,,West Central (text only),1
Uzbekistan,998,,
,,Coscom,0.8
,,DAEWOO (Unitel),0.8
,,JV Uzdunrobita,0.8
,,Uzmacom,0.8
Vanuatu,678,,
,,Digicel,0.8
,,Telecom Vanuatu (SMILE),1
Vatican City State,39,,
,,TIM,2.5
,,Vodafone (Omnitel),2.5
Venezuela,58,,
,,DigiCel,0.8
,,Digitel,0.8
,,Infonet,0.8
,,Movilnet,1.5
,,Movistar (Telcel),0.8
Vietnam,84,,
,,Mobifone (VMS),0.8
,,Viettel,0.8
,,Vinaphone (VTS),0.8
Virgin Islands (US),1340,,
,,AT&T,0.8
,,Centennial Puerto Rico Operations Corp,0.8
,,Sprint Spectrum L.P.,0.8
Yemen,967,,
,,HiTS-UNITEL (Y),0.8
,,MPC (Sabafon),0.8
,,MTN (Spacetel),0.8
,,Yemen Mobile (CDMA),0.8
Zambia,260,,
,,Cell Z (Zamtel MTS),0.8
,,CelTel (Zain),0.8
,,MTN (Telecel),0.8
Zanzibar,259,,
,,Zantelir,0.8
Zimbabwe,263,,
,,Econet,0.8
,,NetOne,0.8
,,Telecel (P+T Corp.),0.8
